[1, [9.98452484 7.46567185 0.91772256], 196510.024, [6.63494613 5.04727089 1.94196541]]
[1, [9.98394828 7.33608072 1.26224271], 196510.024, [6.63494613 5.04727089 1.94196541]]
X[1, [9.96999721 7.54705042 0.9399499 ], 196510.104, [6.61364594 5.16571527 1.96122595]]
[1, [9.96906667 7.41203187 1.28827893], 196510.104, [6.61364594 5.16571527 1.96122595]]
X[1, [9.96725257 7.55716142 0.94305783], 196510.144, [6.60354202 5.22172551 1.97057911]]
[1, [9.96835424 7.42116761 1.29123998], 196510.144, [6.60354202 5.22172551 1.97057911]]
X[1, [9.97121117 7.53678532 0.94122414], 196510.164, [6.59862697 5.24893149 1.97528776]]
[1, [9.97101672 7.40653336 1.28625686], 196510.164, [6.59862697 5.24893149 1.97528776]]
X[1, [9.96991286 7.54444094 0.94002177], 196510.204, [6.58907333 5.30174154 1.98480661]]
[1, [9.96986195 7.41163977 1.28538605], 196510.204, [6.58907333 5.30174154 1.98480661]]
X[1, [9.97310588 7.52947687 0.93779994], 196510.224, [6.58443575 5.3273442  1.98958089]]
[1, [9.972957   7.39510136 1.28377509], 196510.224, [6.58443575 5.3273442  1.98958089]]
X[1, [9.97437508 4.25429321 3.79951794], 196512.424, [6.45417923 6.0304894  3.73792326]]
[2, [9.97846769 4.6009644  3.91111674], 196512.424, [6.45417923 6.0304894  3.73792326]]
[1, [9.97371008 4.3666923  4.06167338], 196512.424, [6.45417923 6.0304894  3.73792326]]
X[1, [9.973672   4.25799153 3.8035252 ], 196512.464, [6.45339524 6.03423011 3.79003217]]
[2, [9.97835642 4.60437827 3.91950722], 196512.464, [6.45339524 6.03423011 3.79003217]]
[1, [9.97464537 4.36516901 4.07016723], 196512.464, [6.45339524 6.03423011 3.79003217]]
X[1, [9.97521214 4.25605075 3.81463061], 196512.504, [6.45263832 6.03783479 3.84040055]]
[2, [9.97826512 4.6076851  3.92636748], 196512.504, [6.45263832 6.03783479 3.84040055]]
